13 10041 50032
1 294 0.0606151 -0.190285
0 295 0.193381 -0.180846
1 295 0.0700571 -0.190478
0 296 0.144244 -0.179883
1 296 0.0180298 -0.188552
0 297 0.200126 -0.179883
1 297 0.0748745 -0.189515
0 298 0.356208 -0.179883
1 298 0.23192 -0.187588
0 299 0.114377 -0.17892
1 299 -0.0137648 -0.187588
0 300 0.170258 -0.17892
1 300 0.0440434 -0.187588
0 301 0.172185 -0.17892
1 301 0.0467412 -0.187974
0 302 0.1375 -0.177957
1 302 0.010322 -0.186625
0 303 0.14039 -0.177957
1 303 0.0141759 -0.186625
0 304 0.1876 -0.177957
1 304 0.0623494 -0.187588
0 305 0.214578 -0.177957
1 305 0.0893265 -0.187588
0 306 0.353317 -0.177957
1 306 0.228259 -0.187974
0 298 0.357171 -0.177957
0 307 0.224212 -0.17603
1 307 0.0979978 -0.184699
0 308 0.290692 -0.17603
1 308 0.168331 -0.185662
0 309 0.138464 -0.175067
1 309 0.0120563 -0.184506
0 310 0.18471 -0.175067
1 310 0.0606151 -0.184506
0 311 0.244445 -0.175067
1 311 0.119194 -0.183736
0 312 0.356208 -0.175067
1 312 0.23192 -0.184699
0 313 0.149062 -0.174104
1 313 0.0238106 -0.182773
0 314 0.155806 -0.174104
1 314 0.0295914 -0.182773
0 315 0.204943 -0.174104
1 315 0.0796918 -0.182773
0 307 0.225176 -0.174104
0 316 0.132683 -0.173141
1 316 0.00646811 -0.181809
0 317 0.142317 -0.173141
1 317 0.0170663 -0.181809
0 318 0.169295 -0.173141
1 318 0.0421165 -0.181809
0 319 0.173148 -0.173141
1 319 0.0469339 -0.181809
0 320 0.176039 -0.173141
1 320 0.0507877 -0.182773
0 321 0.177966 -0.173141
1 321 0.0548343 -0.18335
0 322 0.180856 -0.173141
1 322 0.0556051 -0.181809
0 323 0.285874 -0.173141
1 323 0.16255 -0.182773
0 324 0.343683 -0.173141
1 324 0.220358 -0.182773
0 324 0.346573 -0.173141
0 325 0.0633128 -0.172178
1 325 -0.055194 -0.181809
0 318 0.167368 -0.172178
0 326 0.271422 -0.172178
1 326 0.149062 -0.181809
0 327 0.133646 -0.171214
1 327 0.00839505 -0.179883
0 328 0.1375 -0.171214
1 328 0.0122489 -0.180846
0 329 0.225176 -0.171214
1 329 0.0989612 -0.180846
0 330 0.249263 -0.171214
1 330 0.123048 -0.180846
0 331 0.256007 -0.171214
1 331 0.130756 -0.180846
0 332 0.102815 -0.170251
1 332 -0.0253264 -0.17892
0 333 0.155806 -0.170251
1 333 0.0295914 -0.17892
0 334 0.16255 -0.170251
1 334 0.0363357 -0.17892
0 335 0.168331 -0.170251
1 335 0.045585 -0.179883
0 336 0.20687 -0.170251
1 336 0.0806553 -0.179883
0 337 0.356208 -0.170251
1 337 0.231727 -0.179883
0 338 0.269495 -0.169288
1 338 0.147135 -0.17892
0 339 0.161587 -0.168325
1 339 0.0353722 -0.176994
0 340 0.163514 -0.168325
1 340 0.0372992 -0.176994
0 341 0.168331 -0.168325
1 341 0.0450069 -0.17892
0 342 0.183747 -0.168325
1 342 0.0604224 -0.176994
0 343 0.270459 -0.167362
1 343 0.147135 -0.17603
0 344 0.106669 -0.166399
1 344 -0.020509 -0.175067
0 345 0.167368 -0.166399
1 345 0.0421165 -0.17526
0 346 0.175075 -0.166399
1 346 0.052522 -0.17526
0 347 0.217468 -0.166399
1 347 0.092217 -0.17603
0 348 0.267569 -0.166399
1 348 0.143859 -0.176416
0 349 0.335011 -0.166399
1 349 0.211687 -0.17603
0 350 0.349463 -0.166399
1 350 0.225176 -0.17603
0 351 0.0989612 -0.165435
1 351 -0.0291803 -0.174104
0 352 0.129792 -0.165435
1 352 0.00454117 -0.175067
0 353 0.252153 -0.165435
1 353 0.127673 -0.174104
0 354 0.284911 -0.165435
1 354 0.161201 -0.17526
0 355 0.114377 -0.164472
1 355 -0.011067 -0.174104
0 356 0.165441 -0.164472
1 356 0.0421165 -0.175067
0 357 0.239628 -0.164472
1 357 0.114377 -0.174104
0 358 0.264678 -0.164472
1 358 0.140391 -0.174104
0 359 0.117267 -0.163509
1 359 -0.00991088 -0.172178
0 360 0.129792 -0.163509
1 360 0.0035777 -0.173141
0 361 0.260824 -0.163509
1 361 0.136537 -0.172178
0 362 0.0970343 -0.162546
1 362 -0.0311072 -0.171214
0 363 0.356208 -0.162546
1 363 0.23192 -0.172178
0 364 0.335975 -0.161583
1 364 0.213614 -0.170251
0 365 0.106669 -0.16062
1 365 -0.0176186 -0.170251
0 366 0.119194 -0.16062
1 366 -0.00798394 -0.170251
0 367 0.155806 -0.16062
1 367 0.0305549 -0.170251
0 368 0.116304 -0.159656
1 368 -0.0108743 -0.169288
0 369 0.20687 -0.159656
1 369 0.0814261 -0.169481
0 370 0.233847 -0.159656
1 370 0.106862 -0.169481
0 371 0.253116 -0.159656
1 371 0.124975 -0.168325
0 372 0.275276 -0.159656
1 372 0.152916 -0.169288
0 373 0.286838 -0.159656
1 373 0.164477 -0.168325
0 374 0.2984 -0.159656
1 374 0.176232 -0.169481
0 375 0.107632 -0.158693
1 375 -0.0195456 -0.167362
0 376 0.259861 -0.158693
1 376 0.136922 -0.168325
0 377 0.311888 -0.158693
1 377 0.190491 -0.168325
0 378 0.103779 -0.155804
1 378 -0.0233995 -0.164472
0 379 0.114377 -0.155804
1 379 -0.0118378 -0.164472
0 380 0.256007 -0.155804
1 380 0.129153 -0.16495
0 381 0.262751 -0.155804
1 381 0.139234 -0.164857
0 382 0.339829 -0.155804
1 382 0.217468 -0.165435
0 383 0.303217 -0.15484
1 383 0.182012 -0.163702
0 384 0.289728 -0.153877
1 384 0.166404 -0.163509
0 385 0.318632 -0.153877
1 385 0.197235 -0.162546
0 386 0.359098 -0.152914
1 386 0.235196 -0.16139
0 387 0.0951074 -0.151951
1 387 -0.0330342 -0.16062
0 388 0.148098 -0.149061
1 388 0.0228471 -0.15773
0 389 0.261788 -0.149061
1 389 0.13461 -0.158693
0 390 0.142317 -0.148098
1 390 0.0170663 -0.156767
0 391 0.0960708 -0.147135
1 391 -0.0311072 -0.155804
0 392 0.320559 -0.147135
1 392 0.199162 -0.155804
0 393 0.138464 -0.146172
1 393 0.0132124 -0.15484
0 394 0.104742 -0.145209
1 394 -0.0214725 -0.15484
0 395 0.118231 -0.145209
1 395 -0.00759853 -0.153299
0 396 0.14039 -0.145209
1 396 0.0143686 -0.155611
0 397 0.146171 -0.145209
1 397 0.0209202 -0.153877
0 398 0.358135 -0.145209
1 398 0.235774 -0.15484
0 399 0.0883631 -0.144246
1 399 -0.0378515 -0.152914
0 400 0.0960708 -0.144246
1 400 -0.031878 -0.152144
0 401 0.0941439 -0.143282
1 401 -0.0320707 -0.150988
0 402 0.100888 -0.143282
1 402 -0.0253264 -0.151951
0 403 0.117267 -0.143282
1 403 -0.00798394 -0.152914
0 404 0.142317 -0.143282
1 404 0.0161028 -0.150988
0 405 0.191454 -0.143282
1 405 0.0662033 -0.152914
0 406 0.319596 -0.143282
1 406 0.198199 -0.152914
0 407 0.102815 -0.142319
1 407 -0.0233995 -0.150988
0 408 0.1375 -0.142319
1 408 0.0112855 -0.150988
0 409 0.296473 -0.142319
1 409 0.174112 -0.150988
0 410 0.319596 -0.141356
1 410 0.199162 -0.150025
0 411 0.075838 -0.140393
1 411 -0.0474862 -0.150025
0 412 0.0979978 -0.140393
1 412 -0.0291803 -0.149061
0 413 0.143281 -0.140393
1 413 0.0166809 -0.148676
0 414 0.146171 -0.140393
1 414 0.0213056 -0.148676
0 415 0.0873996 -0.13943
1 415 -0.0378515 -0.149061
0 416 0.110523 -0.13943
1 416 -0.0166552 -0.148098
0 417 0.124011 -0.13943
1 417 -0.00123965 -0.148098
0 418 0.314779 -0.13943
1 418 0.191454 -0.149061
0 419 0.0893265 -0.138466
1 419 -0.0349611 -0.146172
0 419 0.092217 -0.138466
0 420 0.100888 -0.138466
1 420 -0.0243629 -0.146172
0 421 0.108596 -0.138466
1 421 -0.0195456 -0.147135
0 422 0.0710206 -0.137503
1 422 -0.0523036 -0.147135
0 423 0.126902 -0.137503
1 423 0.000687293 -0.146172
0 424 0.307071 -0.137503
1 424 0.18471 -0.147135
0 425 0.359098 -0.137503
1 425 0.237701 -0.147135
0 426 0.105706 -0.13654
1 426 -0.022436 -0.145209
0 427 0.123048 -0.135577
1 427 -0.00123965 -0.144246
0 427 0.126902 -0.135577
0 428 0.135573 -0.135577
1 428 0.010322 -0.144246
0 429 0.364879 -0.135577
1 429 0.243482 -0.144246
0 430 0.303217 -0.134614
1 430 0.179893 -0.143282
0 431 0.32345 -0.134614
1 431 0.202053 -0.143282
0 432 0.0883631 -0.133651
1 432 -0.038815 -0.141356
0 433 0.155806 -0.133651
1 433 0.0295914 -0.142319
0 434 0.27913 -0.133651
1 434 0.147135 -0.142319
0 435 0.325377 -0.132687
1 435 0.205906 -0.141356
0 436 0.105706 -0.131724
1 436 -0.0233995 -0.13943
0 437 0.160623 -0.131724
1 437 0.0334453 -0.140393
0 438 0.0854727 -0.129798
1 438 -0.0407419 -0.137503
0 439 0.306107 -0.129798
1 439 0.18471 -0.13943
0 440 0.330194 -0.129798
1 440 0.20976 -0.13943
0 441 0.073911 -0.128835
1 441 -0.0513401 -0.137503
0 442 0.15966 -0.128835
1 442 0.0305549 -0.137503
0 443 0.342719 -0.128835
1 443 0.223249 -0.137503
0 444 0.129792 -0.127872
